36,pineapple juice
37,galliano
38,irish whiskey
39,bénédictine
2,sugar
3,whipped cream
4,lime juice
5,orgeat syrup
6,cola
7,sweet vermouth
8,juice
9,mint
10,water
11,sweet and sour
12,tequila
13,vodka
14,orange juice
15,amaretto
16,peach schnapps
17,whiskey
18,apricot brandy
19,soda water
20,grenadine
21,vermouth
23,ginger beer
24,white rum
25,olive juice
26,rum
27,triple sec
28,cream
29,gin
30,bourbon
31,irish cream
32,tonic
33,coffee liqueur
34,cranberry juice
35,angostura bitters
22,blue curaçao
